Model,Prompt,Run,Question File,Question Number,Categories,Score
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,17,"Bitcoin, Privacy, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,18,"Bitcoin, Cryptography, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,19,"Bitcoin, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,20,"Bitcoin, Smart Contract, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,21,"Bitcoin, Privacy, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,22,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,23,"Bitcoin, Smart Contract, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,24,"Bitcoin, Smart Contract, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,25,"Bitcoin, Smart Contract, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,26,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,27,"Bitcoin, Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,28,"Bitcoin, Smart Contract, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,29,"Bitcoin, Cryptography, Privacy, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,30,"Bitcoin, Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,31,"Bitcoin, Smart Contract, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,32,"Bitcoin, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,33,"Bitcoin, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,34,"Bitcoin, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,35,"Bitcoin, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,36,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,37,"Bitcoin, Consensus Mechanisms, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,38,"Bitcoin, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,39,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,40,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,41,"Bitcoin, System Design, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,42,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,43,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,44,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,45,"Bitcoin, Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,46,"Bitcoin, Security, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,47,"Bitcoin, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,48,"Bitcoin, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,49,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,50,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,51,"Bitcoin, Security, Knowledge, Intermediate",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,52,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,53,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,54,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,55,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,56,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,57,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,58,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,59,"Bitcoin, Layer 2 Solutions, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,60,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,61,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,62,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,63,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,64,"Bitcoin, Layer 2 Solutions, Privacy, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,65,"Bitcoin, Layer 2 Solutions, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,66,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,67,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,68,"Bitcoin, Layer 2 Solutions, Privacy, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,69,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,70,"Blockchain Fundamental, Consensus Mechanisms, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,71,"Blockchain Fundamental, Layer 2 Solutions, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,72,"Blockchain Fundamental, Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,73,"Blockchain Fundamental, Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,74,"Blockchain Fundamental, Smart Contract, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,75,"Blockchain Fundamental, Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,76,"Blockchain Fundamental, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,77,"Blockchain Fundamental, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,78,"Blockchain Fundamental, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,79,"Blockchain Fundamental, Smart Contract, Security, System Design, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,80,"Blockchain Fundamental, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,81,"Blockchain Fundamental, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,82,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,83,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,84,"Blockchain Fundamental, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,85,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,86,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,87,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,88,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,89,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,90,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,91,"Blockchain Fundamental, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,92,"Blockchain Fundamental, Calculation, Intermediate",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,93,"Blockchain Fundamental, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,94,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,95,"Blockchain Fundamental, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,96,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,97,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,98,"Blockchain Fundamental, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,99,"Blockchain Fundamental, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,100,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,101,"Blockchain Fundamental, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,102,"Blockchain Fundamental, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,103,"Blockchain Fundamental, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,104,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,105,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,106,"Blockchain Fundamental, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,107,"Blockchain Fundamental, Security, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,108,"Blockchain Fundamental, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,109,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,110,"Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,111,"Blockchain Fundamental, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,112,"Blockchain Fundamental, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,113,"Blockchain Fundamental, Calculation, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,114,"Consensus Mechanisms, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,115,"Consensus Mechanisms, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,116,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,117,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,118,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,119,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,120,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,121,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,122,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,123,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,124,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,125,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,126,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,127,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,128,"Consensus Mechanisms, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,129,"Consensus Mechanisms, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,130,"Consensus Mechanisms, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,131,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,132,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,133,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,134,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,135,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,136,"Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,137,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,138,"Consensus Mechanisms, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,139,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,140,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,141,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,142,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,143,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,144,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,145,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,146,"Consensus Mechanisms, Knowledge, Intermediate",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,147,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,148,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,149,"Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,150,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,151,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,152,"Consensus Mechanisms, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,153,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,154,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,155,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,156,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,157,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,158,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,159,"Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,160,"Consensus Mechanisms, Calculation, Intermediate",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,161,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,162,"Consensus Mechanisms, Problem Solving, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,163,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,164,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,165,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,166,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,167,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,168,"Consensus Mechanisms, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,169,"Consensus Mechanisms, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,170,"Consensus Mechanisms, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,171,"Consensus Mechanisms, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,172,"Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,173,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,174,"Consensus Mechanisms, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,175,"Consensus Mechanisms, Calculation, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,176,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,177,"Cryptography, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,178,"Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,179,"Cryptography, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,180,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,181,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,182,"Cryptography, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,183,"Cryptography, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,184,"Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,185,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,186,"Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,187,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,188,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,189,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,190,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,191,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,192,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,193,"Cryptography, Knowledge, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,194,"Cryptography, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,195,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,196,"Cryptography, Problem Solving, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,197,"Cryptography, Calculation, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,198,"Cryptography, Calculation, Advanced",0
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,199,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,200,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,201,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,202,"Cryptography, Knowledge, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,203,"Cryptography, Knowledge, Advanced",1
