question_id,category,Qwen/Qwen2-Math-72B-Instruct,claude-3-5-sonnet-20240620,claude-3-haiku-20240307,claude-3-opus-20240229,deepseek-ai/DeepSeek-V2.5,gemini-1.5-flash,gemini-1.5-pro,google/gemma-2-27b-it,google/gemma-2-9b-it,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,gpt-4o-2024-08-06,gpt-4o-mini-2024-07-18,meta-llama/Meta-Llama-3.1-405B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,mistral-nemo:12b-instruct-2407-q8_0,mistralai/Mixtral-8x7B-Instruct-v0.1,nous-hermes2:10.7b-solar-fp16,phi3:14b-medium-128k-instruct-q8_0,phi3:3.8b-mini-128k-instruct-fp16
84,"Blockchain Fundamental, Security, Problem Solving, Advanced",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
85,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
86,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
90,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,"Blockchain Fundamental, Calculation, Intermediate",0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0
93,"Blockchain Fundamental, Calculation, Intermediate",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
94,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,"Blockchain Fundamental, Calculation, Advanced",1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0
96,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,"Blockchain Fundamental, Calculation, Advanced",0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1
99,"Blockchain Fundamental, Calculation, Intermediate",1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
100,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,"Blockchain Fundamental, Calculation, Intermediate",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1
102,"Blockchain Fundamental, Calculation, Advanced",1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
103,"Blockchain Fundamental, Calculation, Advanced",1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
104,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,"Blockchain Fundamental, Calculation, Advanced",0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1
107,"Blockchain Fundamental, Security, Calculation, Advanced",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1
108,"Blockchain Fundamental, Calculation, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
109,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,"Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,"Blockchain Fundamental, Calculation, Intermediate",1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
112,"Blockchain Fundamental, Calculation, Intermediate",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
113,"Blockchain Fundamental, Calculation, Beginner",0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1
114,"Consensus Mechanisms, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,"Consensus Mechanisms, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
116,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,"Consensus Mechanisms, Calculation, Advanced",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
118,"Consensus Mechanisms, Calculation, Advanced",1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
119,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,"Consensus Mechanisms, Calculation, Advanced",1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
121,"Consensus Mechanisms, Calculation, Advanced",0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0
122,"Consensus Mechanisms, Calculation, Advanced",0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
123,"Consensus Mechanisms, Calculation, Advanced",0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0
124,"Consensus Mechanisms, Calculation, Advanced",0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
125,"Consensus Mechanisms, Calculation, Advanced",0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
126,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,"Consensus Mechanisms, Calculation, Advanced",0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
128,"Consensus Mechanisms, Calculation, Intermediate",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
129,"Consensus Mechanisms, Calculation, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
130,"Consensus Mechanisms, Calculation, Intermediate",1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
131,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,"Consensus Mechanisms, Calculation, Advanced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"Consensus Mechanisms, Calculation, Advanced",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
134,"Consensus Mechanisms, Calculation, Advanced",0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
135,"Consensus Mechanisms, Calculation, Advanced",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,"Consensus Mechanisms, Knowledge, Intermediate",1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
137,"Consensus Mechanisms, Calculation, Advanced",0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
138,"Consensus Mechanisms, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,"Consensus Mechanisms, Calculation, Advanced",1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
140,"Consensus Mechanisms, Calculation, Advanced",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
141,"Consensus Mechanisms, Calculation, Advanced",0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
142,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,"Consensus Mechanisms, Calculation, Advanced",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
145,"Consensus Mechanisms, Calculation, Advanced",1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
146,"Consensus Mechanisms, Knowledge, Intermediate",1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0
147,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,"Consensus Mechanisms, Calculation, Advanced",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"Consensus Mechanisms, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,"Consensus Mechanisms, Calculation, Advanced",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1
151,"Consensus Mechanisms, Calculation, Advanced",1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
152,"Consensus Mechanisms, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,"Consensus Mechanisms, Calculation, Advanced",1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
154,"Consensus Mechanisms, Calculation, Advanced",1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1
155,"Consensus Mechanisms, Calculation, Advanced",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
156,"Consensus Mechanisms, Calculation, Advanced",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
157,"Consensus Mechanisms, Calculation, Advanced",0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
158,"Consensus Mechanisms, Calculation, Advanced",1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1
159,"Consensus Mechanisms, Knowledge, Intermediate",0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
160,"Consensus Mechanisms, Calculation, Intermediate",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
161,"Consensus Mechanisms, Calculation, Advanced",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
162,"Consensus Mechanisms, Problem Solving, Advanced",0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0
163,"Consensus Mechanisms, Calculation, Advanced",0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0
164,"Consensus Mechanisms, Calculation, Advanced",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"Consensus Mechanisms, Calculation, Advanced",0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1
166,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,"Consensus Mechanisms, Calculation, Advanced",1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
168,"Consensus Mechanisms, Problem Solving, Advanced",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,"Consensus Mechanisms, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,"Consensus Mechanisms, Calculation, Intermediate",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
171,"Consensus Mechanisms, Calculation, Advanced",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0
172,"Consensus Mechanisms, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,"Consensus Mechanisms, Calculation, Advanced",0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1
174,"Consensus Mechanisms, Calculation, Advanced",1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
175,"Consensus Mechanisms, Calculation, Intermediate",0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
176,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,"Cryptography, Security, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,"Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,"Cryptography, Calculation, Advanced",0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1
180,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
181,"Cryptography, Knowledge, Advanced",1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
182,"Cryptography, Calculation, Advanced",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
183,"Cryptography, Calculation, Advanced",0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0
184,"Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,"Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
190,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,"Cryptography, Knowledge, Advanced",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,"Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
193,"Cryptography, Knowledge, Advanced",0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
194,"Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
